
Conexiones activas

  Proto  Direcci¢n local        Direcci¢n remota       Estado
  TCP    127.0.0.1:51773        Server:51774           ESTABLISHED
  TCP    127.0.0.1:51774        Server:51773           ESTABLISHED
  TCP    127.0.0.1:54545        Server:54546           TIME_WAIT
  TCP    127.0.0.1:54555        Server:54556           TIME_WAIT
  TCP    127.0.0.1:54582        Server:54583           TIME_WAIT
  TCP    127.0.0.1:54584        Server:54585           TIME_WAIT
  TCP    127.0.0.1:54587        Server:54588           TIME_WAIT
  TCP    127.0.0.1:54608        Server:54609           TIME_WAIT
  TCP    127.0.0.1:54611        Server:54612           TIME_WAIT
  TCP    127.0.0.1:54619        Server:54620           TIME_WAIT
  TCP    127.0.0.1:54621        Server:54622           ESTABLISHED
  TCP    127.0.0.1:54622        Server:54621           ESTABLISHED
  TCP    192.168.1.23:445       srv-prodsap-001:58806  ESTABLISHED
  TCP    192.168.1.23:445       SRV-SIAP-001:65260     ESTABLISHED
  TCP    192.168.1.23:445       SRV-IT-004:59765       ESTABLISHED
  TCP    192.168.1.23:445       srv-veeam-002:56250    ESTABLISHED
  TCP    192.168.1.23:445       WKS-008:62546          ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.1:49910      ESTABLISHED
  TCP    192.168.1.23:445       NB-033:64039           ESTABLISHED
  TCP    192.168.1.23:445       NB-149:59374           ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.5:64287      ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.7:50499      ESTABLISHED
  TCP    192.168.1.23:445       NB-155:62378           ESTABLISHED
  TCP    192.168.1.23:445       NB-108:49774           ESTABLISHED
  TCP    192.168.1.23:445       NB-015:55414           ESTABLISHED
  TCP    192.168.1.23:445       NB-044:65491           ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.13:54203     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.14:62481     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.15:50299     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.16:52285     ESTABLISHED
  TCP    192.168.1.23:445       NB-100:56201           ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.21:54012     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.24:56074     ESTABLISHED
  TCP    192.168.1.23:445       NB-189:59156           ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.28:63307     ESTABLISHED
  TCP    192.168.1.23:445       NB-103:56195           ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.30:58035     ESTABLISHED
  TCP    192.168.1.23:445       NB-134:50974           ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.36:51482     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.37:57767     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.38:62441     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.39:65140     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.40:59230     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.41:60741     ESTABLISHED
  TCP    192.168.1.23:445       NB-116:50899           ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.43:57713     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.44:64463     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.46:53855     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.51:58136     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.52:55025     ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.53:53082     ESTABLISHED
  TCP    192.168.1.23:445       NB-045:63148           ESTABLISHED
  TCP    192.168.1.23:445       NB-117:54736           ESTABLISHED
  TCP    192.168.1.23:445       NB-048:65362           ESTABLISHED
  TCP    192.168.1.23:445       172.30.22.71:64546     ESTABLISHED
  TCP    192.168.1.23:445       Server-AD:50809        ESTABLISHED
  TCP    192.168.1.23:445       SRV-DC-002:52153       ESTABLISHED
  TCP    192.168.1.23:445       srv-prtg-001:63446     ESTABLISHED
  TCP    192.168.1.23:445       srv-wsus-001:49310     ESTABLISHED
  TCP    192.168.1.23:445       SRV-TS-001:62275       ESTABLISHED
