
Conexiones activas

  Proto  Direcci¢n local        Direcci¢n remota       Estado
  TCP    127.0.0.1:13789        NB-218:49677           ESTABLISHED
  TCP    127.0.0.1:32000        NB-218:49673           ESTABLISHED
  TCP    127.0.0.1:49673        NB-218:32000           ESTABLISHED
  TCP    127.0.0.1:49677        NB-218:13789           ESTABLISHED
  TCP    127.0.0.1:49686        NB-218:49687           ESTABLISHED
  TCP    127.0.0.1:49687        NB-218:49686           ESTABLISHED
  TCP    127.0.0.1:49688        NB-218:49689           ESTABLISHED
  TCP    127.0.0.1:49689        NB-218:49688           ESTABLISHED
  TCP    127.0.0.1:49894        NB-218:49895           ESTABLISHED
  TCP    127.0.0.1:49895        NB-218:49894           ESTABLISHED
  TCP    127.0.0.1:49896        NB-218:49897           ESTABLISHED
  TCP    127.0.0.1:49897        NB-218:49896           ESTABLISHED
  TCP    172.30.22.5:50088      srv-it-001:microsoft-ds  ESTABLISHED
  TCP    172.30.22.5:56286      SRV-PTR-001:epmap      ESTABLISHED
  TCP    172.30.22.5:56287      SRV-PTR-001:49670      ESTABLISHED
  TCP    172.30.22.5:56403      Server:microsoft-ds    ESTABLISHED
  TCP    172.30.22.5:61212      SRV-PTR-001:49670      ESTABLISHED
  TCP    172.30.22.5:61679      SRV-DC-002:epmap       TIME_WAIT
  TCP    172.30.22.5:61680      Server-AD:epmap        TIME_WAIT
  TCP    172.30.22.5:61681      SRV-DC-002:49671       TIME_WAIT
  TCP    172.30.22.5:61682      Server-AD:49692        TIME_WAIT
  TCP    172.30.22.5:61688      SRV-DC-002:microsoft-ds  ESTABLISHED
  TCP    172.30.22.5:61713      mantenimiento:https    CLOSE_WAIT
  TCP    192.168.1.42:49690     ec2-34-198-223-107:https  ESTABLISHED
  TCP    192.168.1.42:49704     52.226.139.180:https   ESTABLISHED
  TCP    192.168.1.42:49721     ec2-3-64-15-188:https  ESTABLISHED
  TCP    192.168.1.42:49836     40.84.185.67:https     ESTABLISHED
  TCP    192.168.1.42:49854     52.111.229.30:https    ESTABLISHED
  TCP    192.168.1.42:49906     52.115.92.13:https     ESTABLISHED
  TCP    192.168.1.42:49973     host154:https          ESTABLISHED
  TCP    192.168.1.42:50016     a23-216-89-171:https   CLOSE_WAIT
  TCP    192.168.1.42:50017     a23-216-89-171:https   CLOSE_WAIT
  TCP    192.168.1.42:50018     a23-216-89-171:https   CLOSE_WAIT
  TCP    192.168.1.42:50050     13.107.5.88:https      ESTABLISHED
  TCP    192.168.1.42:56176     52.97.2.130:https      ESTABLISHED
  TCP    192.168.1.42:56191     52.115.93.184:https    ESTABLISHED
  TCP    192.168.1.42:61622     13.68.168.63:https     ESTABLISHED
  TCP    192.168.1.42:61662     a23-55-92-57:http      TIME_WAIT
  TCP    192.168.1.42:61674     40.79.141.152:https    TIME_WAIT
  TCP    192.168.1.42:64011     a23-55-95-248:https    CLOSE_WAIT
  TCP    [::1]:8082             NB-218:49678           ESTABLISHED
  TCP    [::1]:49678            NB-218:8082            ESTABLISHED
  TCP    [::1]:61677            NB-218:8082            TIME_WAIT
  TCP    [::1]:61678            NB-218:8082            TIME_WAIT
  TCP    [::1]:61694            NB-218:8082            TIME_WAIT
  TCP    [::1]:61711            NB-218:8082            TIME_WAIT
  TCP    [::1]:61712            NB-218:8082            TIME_WAIT
  TCP    [::1]:61714            NB-218:8082            TIME_WAIT
  TCP    [::1]:61715            NB-218:8082            TIME_WAIT
  TCP    [::1]:61716            NB-218:8082            TIME_WAIT
  TCP    [::1]:61718            NB-218:8082            TIME_WAIT
  TCP    [::1]:61720            NB-218:8082            TIME_WAIT
  TCP    [::1]:61721            NB-218:8082            TIME_WAIT
  TCP    [::1]:61723            NB-218:8082            TIME_WAIT
