Nro. Pedido;Clase Pedido;Fecha Pedido;Proveedor;Centro;Material;Comprador;Cantidad;Importe;Fecha Entrega;Fecha Entrega real;Cond. Pago;Estrategia;Fecha Devolucion;Motivo;Nro. SolPed
4500000000;COM1;19/8/2016;1002;CEN3;1000003;COMP01;2.328;$ 530.936;29/9/2016;9/10/2016;CP04;AA01;;;10000000
4500000001;COM2;19/7/2016;1001;CEN1;1000006;COMP04;5629;$ 373.612;28/8/2016;25/8/2016;CP02;AA01;;;10000001
4500000002;COM3;8/2/2017;1004;CEN2;1000002;COMP05;1952;$ 543.123;2/3/2017;5/3/2017;CP01;AA04;;;10000002
4500000003;COM1;19/5/2017;1006;CEN3;1000001;COMP05;2234;$ 228.179;20/5/2017;14/5/2017;CP04;AA03;;;10000003
4500000004;COM1;20/2/2017;1005;CEN1;1000005;COMP05;1776;$ 215.318;28/2/2017;13/3/2017;CP01;AA01;;;10000004
4500000005;COM1;9/9/2016;1009;CEN2;1000002;COMP05;2562;$ 756.595;;;CP02;AA02;;;10000005
4500000006;COM3;22/2/2017;1001;CEN2;1000002;COMP02;5097;$ 454.208;18/3/2017;23/3/2017;CP01;AA04;;;10000006
4500000007;COM3;6/12/2016;1002;CEN1;1000004;COMP01;4710;$ 895.759;14/1/2017;28/12/2016;CP04;AA01;;;10000007
4500000008;COM1;4/1/2017;1006;CEN1;1000001;COMP02;920;$ 413.419;20/1/2017;30/1/2017;CP03;AA04;;;10000008
4500000009;COM1;18/3/2017;1007;CEN2;1000004;COMP05;5660;$ 432.726;21/3/2017;19/3/2017;CP03;AA01;;;10000009
4500000010;COM2;29/5/2016;1006;CEN1;1000005;COMP02;1487;$ 261.599;26/6/2016;27/6/2016;CP01;AA04;;;10000010
4500000011;COM1;3/8/2017;1009;CEN2;1000003;COMP02;2546;$ 739.319;9/9/2017;1/9/2017;CP03;AA04;2/9/2017;ESTA;10000011
4500000012;COM2;30/6/2016;1001;CEN2;1000001;COMP03;5306;$ 322.624;;;CP04;AA02;;;10000012
4500000013;COM3;25/3/2017;1007;CEN3;1000001;COMP05;1631;$ 355.004;27/3/2017;25/3/2017;CP03;AA04;;;10000013
4500000014;COM2;7/11/2016;1000;CEN3;1000001;COMP03;400;$ 703.632;14/11/2016;18/11/2016;CP02;AA03;;;10000014
4500000015;COM2;27/12/2017;1010;CEN1;1000002;COMP02;615;$ 618.521;30/12/2017;19/12/2017;CP02;AA03;;;10000015
4500000016;COM3;21/3/2016;1002;CEN2;1000002;COMP02;1485;$ 703.208;23/4/2016;1/5/2016;CP02;AA02;;;10000016
4500000017;COM2;1/2/2016;1000;CEN3;1000002;COMP01;276;$ 767.233;20/2/2016;11/2/2016;CP04;AA01;;;10000017
4500000018;COM2;1/2/2017;1001;CEN1;1000006;COMP05;4309;$ 349.301;11/2/2017;12/2/2017;CP01;AA02;;;10000018
4500000019;COM1;6/6/2016;1002;CEN3;1000006;COMP01;3615;$ 472.754;;;CP04;AA01;;;10000019
4500000020;COM3;24/10/2016;1006;CEN3;1000001;COMP04;284;$ 466.499;29/11/2016;10/12/2016;CP04;;;;10000020
4500000021;COM1;18/3/2017;1002;CEN2;1000001;COMP02;756;$ 384.840;10/5/2017;9/5/2017;CP01;AA01;;;10000021
4500000022;COM2;31/12/2017;1000;CEN2;1000004;COMP03;3190;$ 605.545;19/1/2018;8/2/2018;CP03;AA04;;;10000022
4500000023;COM2;21/8/2016;1007;CEN3;1000006;COMP05;455;$ 131.192;11/9/2016;10/9/2016;CP01;AA02;;;10000023
4500000024;COM1;24/5/2017;1008;CEN1;1000002;COMP02;1714;$ 218.834;17/6/2017;28/6/2017;CP03;;29/6/2017;CANT;10000024
4500000025;COM2;19/11/2016;1006;CEN1;1000003;COMP01;5201;$ 787.275;28/11/2016;24/11/2016;CP02;AA02;;;10000025
4500000026;COM3;22/9/2017;1007;CEN2;1000003;COMP01;367;$ 370.745;;;CP03;AA03;;;10000026
4500000027;COM2;26/9/2016;1003;CEN1;1000001;COMP04;4945;$ 755.926;27/9/2016;24/9/2016;CP02;AA04;;;10000027
4500000028;COM2;20/11/2017;1002;CEN2;1000006;COMP01;3899;$ 495.839;7/12/2017;8/12/2017;CP03;AA02;;;10000028
